"caso_ano","caso_anomes","caso_mes","qtd_casos","bairro","regiao","zona","area","area_grupo","bairro_ha","bairro_pop2010","ciclo_mes","ciclo","ciclo_parte","ciclo_num"
2002,200203,3,68,"Humaitá","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",105.45,13285,8,"ciclo2002","predicao",2002
2002,200204,4,11,"Humaitá","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",105.45,13285,9,"ciclo2002","predicao",2002
2002,200205,5,5,"Humaitá","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",105.45,13285,10,"ciclo2002","predicao",2002
2002,200206,6,1,"Humaitá","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",105.45,13285,11,"ciclo2002","predicao",2002
2002,200207,7,1,"Humaitá","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",105.45,13285,12,"ciclo2002","predicao",2002
2002,200201,1,7,"Urca","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",231.9,7061,6,"ciclo2002","predicao",2002
2002,200202,2,32,"Urca","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",231.9,7061,7,"ciclo2002","predicao",2002
2002,200203,3,21,"Urca","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",231.9,7061,8,"ciclo2002","predicao",2002
2002,200204,4,10,"Urca","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",231.9,7061,9,"ciclo2002","predicao",2002
2002,200205,5,0,"Urca","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",231.9,7061,10,"ciclo2002","predicao",2002
2002,200206,6,0,"Urca","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",231.9,7061,11,"ciclo2002","predicao",2002
2002,200207,7,1,"Urca","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",231.9,7061,12,"ciclo2002","predicao",2002
2002,200201,1,24,"Leme","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",97.92,14799,6,"ciclo2002","predicao",2002
2002,200202,2,49,"Leme","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",97.92,14799,7,"ciclo2002","predicao",2002
2002,200203,3,57,"Leme","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",97.92,14799,8,"ciclo2002","predicao",2002
2002,200204,4,35,"Leme","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",97.92,14799,9,"ciclo2002","predicao",2002
2002,200205,5,10,"Leme","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",97.92,14799,10,"ciclo2002","predicao",2002
2002,200206,6,1,"Leme","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",97.92,14799,11,"ciclo2002","predicao",2002
2002,200207,7,0,"Leme","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",97.92,14799,12,"ciclo2002","predicao",2002
2002,200201,1,452,"Copacabana","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",410.09,146392,6,"ciclo2002","predicao",2002
2002,200202,2,777,"Copacabana","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",410.09,146392,7,"ciclo2002","predicao",2002
2002,200203,3,959,"Copacabana","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",410.09,146392,8,"ciclo2002","predicao",2002
